ID, ideology, leadership, name, party, description, introduced_bills_115, cosponsored_bills_115, unique_cosponsors_115, total_cosponsors_115
412221, 0.134014592441, 0.32430337864, Clarke, Democrat, progressive Democrat, 15, 421, 101, 226
400162, 0.0150848100596, 0.660640799915, Grijalva, Democrat, progressive Democratic leader, 20, 567, 231, 739
412562, 0.340449660654, 0.511916147172, Maloney [NY18], Democrat, rank-and-file Democrat, 24, 301, 148, 197
412189, 0.275105838078, 0.296727644298, McNerney, Democrat, moderate Democratic follower, 13, 263, 30, 37
412432, 0.336443955143, 0.458978089825, Richmond, Democrat, rank-and-file Democrat, 10, 215, 167, 261
400350, 0.240102746008, 0.224038001761, Rush, Democrat, moderate Democratic follower, 19, 408, 37, 49
400366, 0.165856498863, 0.318199523333, Serrano, Democrat, progressive Democrat, 20, 349, 52, 82
412522, 0.297264805036, 0.379659818162, Vargas, Democrat, rank-and-file Democrat, 11, 242, 27, 59
412412, 0.17718048713, 0.519478610132, Wilson [FL24], Democrat, progressive Democrat, 10, 315, 52, 162
400651, 0.916421485097, 0.482514209429, Gohmert, Republican, conservative Republican, 12, 187, 90, 153
400018, 0.757760363651, 0.708257879654, Barton, Republican, rank-and-file Republican, 3, 86, 178, 198
412397, 0.968528798332, 0.813151476832, Gosar, Republican, conservative Republican leader, 15, 255, 117, 210
412434, 0.896751391161, 0.481571480349, Harris, Republican, conservative Republican, 4, 156, 49, 50
412574, 0.912834222338, 0.466318989482, Weber, Republican, conservative Republican, 6, 199, 31, 39
412468, 0.743690900857, 0.682663155491, Marino, Republican, rank-and-file Republican, 18, 143, 79, 95
412500, 0.810930598626, 0.514795036857, Amodei, Republican, rank-and-file Republican, 10, 133, 96, 111
412531, 0.820677285618, 0.800190135681, Collins [GA9], Republican, moderate Republican leader, 34, 109, 247, 408
400141, 0.947444241922, 0.8688236835, Franks, Republican, conservative Republican leader, 12, 250, 224, 446
400316, 0.657820122739, 0.301090893794, Peterson, Democrat, centrist Democratic follower, 2, 229, 33, 38
412596, 0.852825146832, 0.580375629964, Smith [MO8], Republican, rank-and-file Republican, 15, 155, 235, 334
400381, 0.89653307473, 0.755940148044, Smith [TX21], Republican, conservative Republican leader, 8, 194, 321, 412
400063, 0.290924506488, 0.381372222657, Capuano, Democrat, rank-and-file Democrat, 22, 274, 61, 89
400308, 0.260553307922, 0.479327595579, Pallone, Democrat, rank-and-file Democrat, 20, 320, 109, 210
412399, 0.858366978438, 0.472239228648, Schweikert, Republican, rank-and-file Republican, 7, 140, 26, 28
400029, 0.834926111126, 0.551497575789, Bishop [UT1], Republican, rank-and-file Republican, 13, 115, 96, 135
412555, 0.974946458182, 0.580732412922, Cramer, Republican, conservative Republican, 18, 262, 175, 218
400089, 0.851617849736, 0.285025395733, Culberson, Republican, moderate Republican follower, 5, 124, 14, 14
400199, 0.161007626971, 0.603095255443, Jackson Lee, Democrat, progressive Democrat, 51, 483, 139, 370
400654, 0.8093571611, 0.915025072232, McCaul, Republican, moderate Republican leader, 21, 194, 395, 805
412302, 0.990104497124, 0.839960786395, Olson, Republican, conservative Republican leader, 10, 219, 116, 146
400652, 0.83462277408, 0.897303249537, Poe, Republican, moderate Republican leader, 35, 219, 245, 439
400313, 0.914786462055, 0.391824521381, Pearce, Republican, conservative Republican, 12, 201, 50, 56
412514, 0.278946494604, 0.477900182673, Swalwell, Democrat, rank-and-file Democrat, 9, 377, 205, 310
400103, 0.221549160733, 0.76296761918, DeLauro, Democrat, progressive Democratic leader, 28, 273, 214, 982
412517, 0.295202337019, 0.62733774739, Cárdenas, Democrat, moderate Democratic leader, 22, 292, 199, 454
400111, 0.326430566657, 0.576263700749, Doggett, Democrat, rank-and-file Democrat, 11, 148, 155, 495
412215, 0.0869411329507, 0.497362585726, Ellison, Democrat, progressive Democrat, 38, 459, 116, 279
400237, 0.0, 0.704900910112, Lee, Democrat, progressive Democratic leader, 43, 525, 196, 946
400661, 0.136237909102, 0.418042447474, Moore, Democrat, progressive Democrat, 9, 503, 63, 76
412585, 0.171054132447, 0.533877505015, Pocan, Democrat, progressive Democrat, 12, 529, 150, 361
400360, 0.115237652727, 0.591970579299, Schakowsky, Democrat, progressive Democrat, 20, 505, 116, 230
400364, 0.232935777084, 0.628846112942, Scott [VA3], Democrat, progressive Democratic leader, 16, 264, 201, 709
412520, 0.143417975945, 0.417972309668, Takano, Democrat, progressive Democrat, 19, 437, 116, 238
400344, 0.554609014746, 0.937268836943, Ros-Lehtinen, Republican, centrist Republican leader, 19, 184, 254, 515
400068, 0.797244465766, 0.677447685435, Carter [TX31], Republican, rank-and-file Republican, 6, 89, 107, 128
400071, 0.884452040235, 0.747273404384, Chabot, Republican, conservative Republican leader, 19, 216, 225, 388
412271, 0.767539021418, 0.584957822173, Coffman, Republican, rank-and-file Republican, 16, 269, 157, 265
412403, 0.677549395632, 0.659369786087, Denham, Republican, rank-and-file Republican, 9, 116, 265, 365
400108, 0.654373943584, 0.48304225508, Diaz-Balart, Republican, centrist Republican, 5, 101, 77, 78
412480, 0.924283071313, 0.536163392851, Flores, Republican, conservative Republican, 8, 178, 26, 27
412444, 0.910868217833, 0.497259512301, Hartzler, Republican, conservative Republican, 14, 163, 66, 90
400170, 0.171072522358, 0.727828631603, Hastings, Democrat, progressive Democratic leader, 30, 521, 272, 668
400209, 0.803413161167, 0.511709053099, Jones, Republican, rank-and-file Republican, 21, 396, 63, 84
412435, 0.300002832661, 0.350537170283, Keating, Democrat, rank-and-file Democrat, 10, 281, 68, 74
412465, 0.872548115335, 0.870336350732, Kelly [PA3], Republican, conservative Republican leader, 21, 212, 355, 672
400656, 0.916048629565, 0.524364748783, Marchant, Republican, conservative Republican, 9, 131, 49, 69
412540, 0.901354936091, 0.690597355, Messer, Republican, conservative Republican, 35, 287, 248, 371
400348, 0.657824355615, 0.987415983524, Royce, Republican, centrist Republican leader, 22, 169, 399, 1140
400373, 0.745624353817, 0.589509988349, Shimkus, Republican, rank-and-file Republican, 4, 107, 148, 156
412186, 0.345560857671, 0.401502447763, Sires, Democrat, rank-and-file Democrat, 11, 252, 57, 64
412461, 0.838931641386, 0.611767652175, Stivers, Republican, rank-and-file Republican, 15, 254, 140, 198
412579, 0.32053598766, 0.33545119539, Veasey, Democrat, rank-and-file Democrat, 16, 257, 74, 128
412192, 0.378180483635, 0.331961148249, Perlmutter, Democrat, rank-and-file Democrat, 8, 278, 89, 93
412257, 0.349566132007, 0.502317396278, Foster, Democrat, rank-and-file Democrat, 20, 246, 123, 222
412521, 0.204608871915, 0.530601469867, Lowenthal, Democrat, progressive Democrat, 13, 421, 168, 351
412293, 0.366578424105, 0.4713785264, Luján, Democrat, rank-and-file Democrat, 28, 197, 139, 341
400271, 0.218971513563, 0.479024272359, Meeks, Democrat, progressive Democrat, 14, 352, 83, 119
400289, 0.162134626239, 0.694289970287, Nadler, Democrat, progressive Democratic leader, 13, 349, 205, 551
408211, 0.380123591202, 0.333678609637, Nolan, Democrat, rank-and-file Democrat, 23, 302, 98, 129
400660, 0.625507081647, 0.874391779076, Reichert, Republican, centrist Republican leader, 19, 106, 345, 728
412478, 0.884584433483, 0.954480848884, Black, Republican, conservative Republican leader, 22, 109, 228, 630
400033, 0.232274115732, 0.596959785314, Blumenauer, Democrat, progressive Democrat, 26, 592, 129, 272
412501, 0.26370836488, 0.378557163945, Bonamici, Democrat, rank-and-file Democrat, 13, 341, 64, 77
