full_name,chamber,party,state,screen_name,alt_name1,alt_name2
Steve Scalise,House,R,La.,SteveScalise,GeauxScalise,
John McCain,Senate,R, Ariz.,SenJohnMcCain,TeamMcCain,
Trey Gowdy,House,R,S.C.,TGowdySC,,
Thomas Massie,House,R,Ky.,RepThomasMassie,,
Ben Sasse,Senate,R, Neb.,SenSasse,BenSasse,
Adrian Smith,House,R,Neb.,RepAdrianSmith,,
Patrick T. McHenry,House,R,N.C.,PatrickMcHenry,,
Mark Walker,House,R,N.C.,RepMarkWalker,,
David Young,House,R,Iowa,RepDavidYoung,DavidYoungIA,
Jeff Fortenberry,House,R,Neb.,JeffFortenberry,,
Tom Marino,House,R,Pa.,RepTomMarino,,
French Hill,House,R,Ark.,RepFrenchHill,,
John Shimkus,House,R,Ill.,RepShimkus,,
Bill Cassidy,Senate,R, La.,BillCassidy,,
Paul Cook,House,R,Calif.,RepPaulCook,,
Charles E. Grassley,Senate,R, Iowa,ChuckGrassley,,
John Hoeven,Senate,R, N.D.,SenJohnHoeven,,
Peter Roskam,House,R,Ill.,PeterRoskam,,
Susan Brooks,House,R,Ind.,SusanWBrooks,,
Tom Rooney,House,R,Fla.,TomRooney,,
Joe L. Barton,House,R,Texas,RepJoeBarton,,
Rand Paul,Senate,R, Ky.,RandPaul,DrRandPaul,
Rod Blum,House,R,Iowa,RepRodBlum,,
Duncan D. Hunter,House,R,Calif.,Rep_Hunter,,
Morgan Griffith,House,R,Va.,RepMGriffith,,
Raul Labrador,House,R,Idaho,Raul_Labrador,,
Daniel Webster,House,R,Fla.,RepWebster,,
Martha Roby,House,R,Ala.,RepMarthaRoby,,
Sean Duffy,House,R,Wis.,RepSeanDuffy,Duffy4Wisconsin,
David Valadao,House,R,Calif.,RepDavidValadao,,
Mike Coffman,House,R,Colo.,RepMikeCoffman,MiRepCoffmanCO,
George Holding,House,R,N.C.,RepHolding,,
Jerry Moran,Senate,R, Kan.,JerryMoran,,
Johnny Isakson,Senate,R, Ga.,SenatorIsakson,JohnnyIsakson,
Robert B. Aderholt,House,R,Ala.,Robert_Aderholt,,
Kevin Brady,House,R,Texas,RepKevinBrady,,
Thom Tillis,Senate,R, N.C.,SenThomTillis,ThomTillis,
Dan Newhouse,House,R,Wash.,RepNewhouse,,
Tom Rice,House,R,S.C.,RepTomRice,,
Frank D. Lucas,House,R,Okla.,RepFrankLucas,,
Joni Ernst,Senate,R, Iowa,SenJoniErnst,joniernst,
Gus Bilirakis,House,R,Fla.,RepGusBilirakis,,
Alex Mooney,House,R,W.Va.,RepAlexMooney,,
Rodney Davis,House,R,Ill.,RodneyDavis,,
Ken Calvert,House,R,Calif.,KenCalvert,,
Dave Joyce,House,R,Ohio,RepDaveJoyce,DaveJoyceOH14,
Tom Emmer,House,R,Minn.,RepTomEmmer,tomemmer,
Marco Rubio,Senate,R, Fla.,SenRubioPress,marcorubio,
F. James Sensenbrenner,House,R,Wis.,JimPressOffice,,
Kevin Yoder,House,R,Kan.,RepKevinYoder,KevinYoder,
John Ratcliffe,House,R,Texas,RepRatcliffe,,
Mitch McConnell,Senate,R, Ky.,McConnellPress,SenateMajLdr,Team_Mitch
Mike D. Rogers,House,R,Ala.,RepMikeRogersAL,,
Barry Loudermilk,House,R,Ga.,RepLoudermilk,,
David McKinley,House,R,W.Va.,RepMcKinley,,
John Carter,House,R,Texas,JudgeCarter,,
Chris Collins,House,R,N.Y.,RepChrisCollins,CollinsNY27,
Walter B. Jones,House,R,N.C.,RepWalterJones,,
Jim Jordan,House,R,Ohio,Jim_Jordan,,
Glenn Thompson,House,R,Pa.,CongressmanGT,,
Steve Womack,House,R,Ark.,rep_stevewomack,,
Roy Blunt,Senate,R, Mo.,RoyBlunt,RoyBluntMO,
Randy Hultgren,House,R,Ill.,RepHultgren,,
Jackie Walorski,House,R,Ind.,RepWalorski,,
Michael McCaul,House,R,Texas,RepMcCaul,,
Robert W. Goodlatte,House,R,Va.,RepGoodlatte,,
Orrin G. Hatch,Senate,R, Utah,senorrinhatch,,
Mark Amodei,House,R,Nev.,MarkAmodeiNV2,,
Roger Wicker,Senate,R, Miss.,SenatorWicker,RogerWicker,
Chuck Fleischmann,House,R,Tenn.,RepChuck,,
Jim Renacci,House,R,Ohio,RepJimRenacci,,
Sam Graves,House,R,Mo.,RepSamGraves,,
Tom Graves,House,R,Ga.,RepTomGraves,,
Ron DeSantis,House,R,Fla.,RepDeSantis,RonDeSantisFL,
Mike Bishop,House,R,Mich.,RepMikeBishop,,
Doug Collins,House,R,Ga.,RepDougCollins,,
Steve Daines,Senate,R, Mont.,SteveDaines,,
Bruce Westerman,House,R,Ark.,RepWesterman,WestermanAR,
Kristi Noem,House,R,S.D.,RepKristiNoem,,
David A. Brat,House,R,Va.,RepDaveBrat,,
Gregg Harper,House,R,Miss.,GreggHarper,,
Larry Bucshon,House,R,Ind.,RepLarryBucshon,,
Robert J. Wittman,House,R,Va.,RobWittman,,
Jeff Flake,Senate,R, Ariz.,JeffFlake,FlakeforSenate,
Michael C. Burgess,House,R,Texas,michaelcburgess,,
Scott Perry,House,R,Pa.,RepScottPerry,,
Tom Cole,House,R,Okla.,TomColeOK04,,
Michael D. Crapo,Senate,R, Idaho,MikeCrapo,,
Brad Wenstrup,House,R,Ohio,RepBradWenstrup,,
Brett Guthrie,House,R,Ky.,RepGuthrie,brettguthrie,
Ted Poe,House,R,Texas,JudgeTedPoe,,
Scott Tipton,House,R,Colo.,RepTipton,,
Ralph Abraham,House,R,La.,RepAbraham,,
Rick Crawford,House,R,Ark.,RepRickCrawford,,
Buddy Carter,House,R,Ga.,RepBuddyCarter,,
K. Michael Conaway,House,R,Texas,ConawayTX11,,
