"name","propublica_url","twitter_url"
"Glenn Grothman","https://projects.propublica.org/represent/members/G000576-glenn-grothman","http://twitter.com/RepGrothman"
"Brett Guthrie","https://projects.propublica.org/represent/members/G000558-brett-guthrie","http://twitter.com/RepGuthrie"
"Luis V. Gutiérrez","https://projects.propublica.org/represent/members/G000535-luis-v-guti%C3%A9rrez","http://twitter.com/LuisGutierrez"
"Colleen Hanabusa","https://projects.propublica.org/represent/members/H001050-colleen-hanabusa","http://twitter.com/RepHanabusa"
"Karen Handel","https://projects.propublica.org/represent/members/H001078-karen-handel","http://twitter.com/RepKHandel"
"Gregg Harper","https://projects.propublica.org/represent/members/H001045-gregg-harper","http://twitter.com/GreggHarper"
"Andy Harris","https://projects.propublica.org/represent/members/H001052-andy-harris","http://twitter.com/RepAndyHarrisMD"
"Vicky Hartzler","https://projects.propublica.org/represent/members/H001053-vicky-hartzler","http://twitter.com/RepHartzler"
"Alcee L. Hastings","https://projects.propublica.org/represent/members/H000324-alcee-l-hastings","http://twitter.com/RepHastingsFL"
"Denny Heck","https://projects.propublica.org/represent/members/H001064-denny-heck","http://twitter.com/RepDennyHeck"
"Jeb Hensarling","https://projects.propublica.org/represent/members/H001036-jeb-hensarling","http://twitter.com/RepHensarling"
"Jaime Herrera Beutler","https://projects.propublica.org/represent/members/H001056-jaime-herrera-beutler","http://twitter.com/HerreraBeutler"
"Jody Hice","https://projects.propublica.org/represent/members/H001071-jody-hice","http://twitter.com/congressmanhice"
"Brian Higgins","https://projects.propublica.org/represent/members/H001038-brian-higgins","http://twitter.com/RepBrianHiggins"
"Clay Higgins","https://projects.propublica.org/represent/members/H001077-clay-higgins","http://twitter.com/RepClayHiggins"
"French Hill","https://projects.propublica.org/represent/members/H001072-french-hill","http://twitter.com/RepFrenchHill"
"Jim Himes","https://projects.propublica.org/represent/members/H001047-jim-himes","http://twitter.com/JAHimes"
"George Holding","https://projects.propublica.org/represent/members/H001065-george-holding","http://twitter.com/RepHolding"
"Trey Hollingsworth","https://projects.propublica.org/represent/members/H001074-trey-hollingsworth","http://twitter.com/reptrey"
"Steny H. Hoyer","https://projects.propublica.org/represent/members/H000874-steny-h-hoyer","http://twitter.com/WhipHoyer"
"Richard Hudson","https://projects.propublica.org/represent/members/H001067-richard-hudson","http://twitter.com/RepRichHudson"
"Jared Huffman","https://projects.propublica.org/represent/members/H001068-jared-huffman","http://twitter.com/RepHuffman"
"Bill Huizenga","https://projects.propublica.org/represent/members/H001058-bill-huizenga","http://twitter.com/RepHuizenga"
"Randy Hultgren","https://projects.propublica.org/represent/members/H001059-randy-hultgren","http://twitter.com/RepHultgren"
"Duncan D. Hunter","https://projects.propublica.org/represent/members/H001048-duncan-d-hunter","http://twitter.com/Rep_Hunter"
"Will Hurd","https://projects.propublica.org/represent/members/H001073-will-hurd","http://twitter.com/hurdonthehill"
"Darrell Issa","https://projects.propublica.org/represent/members/I000056-darrell-issa","http://twitter.com/DarrellIssa"
"Sheila Jackson Lee","https://projects.propublica.org/represent/members/J000032-sheila-jackson-lee","http://twitter.com/JacksonLeeTX18"
"Pramila Jayapal","https://projects.propublica.org/represent/members/J000298-pramila-jayapal","http://twitter.com/RepJayapal"
"Hakeem Jeffries","https://projects.propublica.org/represent/members/J000294-hakeem-jeffries","http://twitter.com/RepJeffries"
"Evan Jenkins","https://projects.propublica.org/represent/members/J000297-evan-jenkins","http://twitter.com/RepEvanJenkins"
"Lynn Jenkins","https://projects.propublica.org/represent/members/J000290-lynn-jenkins","http://twitter.com/RepLynnJenkins"
"Eddie Bernice Johnson","https://projects.propublica.org/represent/members/J000126-eddie-bernice-johnson","http://twitter.com/RepEBJ"
"Bill Johnson","https://projects.propublica.org/represent/members/J000292-bill-johnson","http://twitter.com/RepBillJohnson"
"Sam Johnson","https://projects.propublica.org/represent/members/J000174-sam-johnson","http://twitter.com/SamsPressShop"
"Hank Johnson","https://projects.propublica.org/represent/members/J000288-hank-johnson","http://twitter.com/RepHankJohnson"
"Mike Johnson","https://projects.propublica.org/represent/members/J000299-mike-johnson",""
"Walter B. Jones","https://projects.propublica.org/represent/members/J000255-walter-b-jones","http://twitter.com/RepWalterJones"
"Jim Jordan","https://projects.propublica.org/represent/members/J000289-jim-jordan","http://twitter.com/Jim_Jordan"
"Dave Joyce","https://projects.propublica.org/represent/members/J000295-dave-joyce","http://twitter.com/RepDaveJoyce"
"Marcy Kaptur","https://projects.propublica.org/represent/members/K000009-marcy-kaptur","http://twitter.com/RepMarcyKaptur"
"John Katko","https://projects.propublica.org/represent/members/K000386-john-katko","http://twitter.com/RepJohnKatko"
"Bill Keating","https://projects.propublica.org/represent/members/K000375-bill-keating","http://twitter.com/USRepKeating"
"Trent Kelly","https://projects.propublica.org/represent/members/K000388-trent-kelly","http://twitter.com/reptrentkelly"
"Robin Kelly","https://projects.propublica.org/represent/members/K000385-robin-kelly","http://twitter.com/RepRobinKelly"
"Mike Kelly","https://projects.propublica.org/represent/members/K000376-mike-kelly","http://twitter.com/MikeKellyPA"
"Joseph P. Kennedy III","https://projects.propublica.org/represent/members/K000379-joseph-p-kennedy-iii","http://twitter.com/RepJoeKennedy"
"Ro Khanna","https://projects.propublica.org/represent/members/K000389-ro-khanna","http://twitter.com/RepRoKhanna"
"Ruben Kihuen","https://projects.propublica.org/represent/members/K000390-ruben-kihuen","http://twitter.com/RepKihuen"
"Dan Kildee","https://projects.propublica.org/represent/members/K000380-dan-kildee","http://twitter.com/RepDanKildee"
"Derek Kilmer","https://projects.propublica.org/represent/members/K000381-derek-kilmer","http://twitter.com/RepDerekKilmer"
"Ron Kind","https://projects.propublica.org/represent/members/K000188-ron-kind","http://twitter.com/RepRonKind"
"Steve King","https://projects.propublica.org/represent/members/K000362-steve-king","http://twitter.com/SteveKingIA"
"Peter T. King","https://projects.propublica.org/represent/members/K000210-peter-t-king","http://twitter.com/RepPeteKing"
"Adam Kinzinger","https://projects.propublica.org/represent/members/K000378-adam-kinzinger","http://twitter.com/RepKinzinger"
"Steve Knight","https://projects.propublica.org/represent/members/K000387-steve-knight","http://twitter.com/SteveKnight25"
"Raja Krishnamoorthi","https://projects.propublica.org/represent/members/K000391-raja-krishnamoorthi","http://twitter.com/congressmanraja"
"Ann McLane Kuster","https://projects.propublica.org/represent/members/K000382-ann-mclane-kuster","http://twitter.com/RepAnnieKuster"
"David Kustoff","https://projects.propublica.org/represent/members/K000392-david-kustoff","http://twitter.com/repdavidkustoff"
"Raúl Labrador","https://projects.propublica.org/represent/members/L000573-ra%C3%BAl-labrador","http://twitter.com/Raul_Labrador"
"Darin M. LaHood","https://projects.propublica.org/represent/members/L000585-darin-m-lahood","http://twitter.com/RepLaHood"
"Doug LaMalfa","https://projects.propublica.org/represent/members/L000578-doug-lamalfa","http://twitter.com/RepLaMalfa"
"Doug Lamborn","https://projects.propublica.org/represent/members/L000564-doug-lamborn","http://twitter.com/RepDLamborn"
"Leonard Lance","https://projects.propublica.org/represent/members/L000567-leonard-lance","http://twitter.com/RepLanceNJ7"
"Jim Langevin","https://projects.propublica.org/represent/members/L000559-jim-langevin","http://twitter.com/JimLangevin"
"Rick Larsen","https://projects.propublica.org/represent/members/L000560-rick-larsen","http://twitter.com/RepRickLarsen"
"John B. Larson","https://projects.propublica.org/represent/members/L000557-john-b-larson","http://twitter.com/RepJohnLarson"
"Robert E. Latta","https://projects.propublica.org/represent/members/L000566-robert-e-latta","http://twitter.com/BobLatta"
"Brenda Lawrence","https://projects.propublica.org/represent/members/L000581-brenda-lawrence","http://twitter.com/RepLawrence"
"Al Lawson","https://projects.propublica.org/represent/members/L000586-al-lawson","http://twitter.com/RepAlLawsonJr"
"Barbara Lee","https://projects.propublica.org/represent/members/L000551-barbara-lee","http://twitter.com/RepBarbaraLee"
"Sander M. Levin","https://projects.propublica.org/represent/members/L000263-sander-m-levin","http://twitter.com/RepSandyLevin"
"John Lewis","https://projects.propublica.org/represent/members/L000287-john-lewis","http://twitter.com/RepJohnLewis"
"Jason Lewis","https://projects.propublica.org/represent/members/L000587-jason-lewis","http://twitter.com/RepJasonLewis"
"Ted Lieu","https://projects.propublica.org/represent/members/L000582-ted-lieu","http://twitter.com/RepTedLieu"
"Daniel Lipinski","https://projects.propublica.org/represent/members/L000563-daniel-lipinski","http://twitter.com/RepLipinski"
"Frank A. LoBiondo","https://projects.propublica.org/represent/members/L000554-frank-a-lobiondo","http://twitter.com/RepLoBiondo"
"Dave Loebsack","https://projects.propublica.org/represent/members/L000565-dave-loebsack","http://twitter.com/DaveLoebsack"
"Zoe Lofgren","https://projects.propublica.org/represent/members/L000397-zoe-lofgren","http://twitter.com/RepZoeLofgren"
"Billy Long","https://projects.propublica.org/represent/members/L000576-billy-long","http://twitter.com/USRepLong"
"Barry Loudermilk","https://projects.propublica.org/represent/members/L000583-barry-loudermilk","http://twitter.com/RepLoudermilk"
"Mia Love","https://projects.propublica.org/represent/members/L000584-mia-love","http://twitter.com/repmialove"
"Alan Lowenthal","https://projects.propublica.org/represent/members/L000579-alan-lowenthal","http://twitter.com/RepLowenthal"
"Nita M. Lowey","https://projects.propublica.org/represent/members/L000480-nita-m-lowey","http://twitter.com/NitaLowey"
"Frank D. Lucas","https://projects.propublica.org/represent/members/L000491-frank-d-lucas","http://twitter.com/RepFrankLucas"
"Blaine Luetkemeyer","https://projects.propublica.org/represent/members/L000569-blaine-luetkemeyer","http://twitter.com/RepBlainePress"
"Ben Ray Luján","https://projects.propublica.org/represent/members/L000570-ben-ray-luj%C3%A1n","http://twitter.com/RepBenRayLujan"
"Michelle Lujan Grisham","https://projects.propublica.org/represent/members/L000580-michelle-lujan-grisham","http://twitter.com/RepLujanGrisham"
"Stephen F. Lynch","https://projects.propublica.org/represent/members/L000562-stephen-f-lynch","http://twitter.com/RepStephenLynch"
"Tom MacArthur","https://projects.propublica.org/represent/members/M001193-tom-macarthur","http://twitter.com/RepTomMacArthur"
